Timestep,Field_0,Field_1,Field_2,Field_3
0,0.0023750183172523975,0.025505781173706055,0.0024565584026277065,0.03507649153470993
1,0.002915001939982176,0.10542316734790802,0.002662519458681345,0.06527570635080338
2,0.0039318338967859745,0.30061081051826477,0.0030957243870943785,0.11414124071598053
3,0.005791570991277695,0.7226750254631042,0.003901024581864476,0.1943424940109253
4,0.009062990546226501,1.655946969985962,0.0051970272324979305,0.33388787508010864
5,0.014469715766608715,3.9216737747192383,0.006990245543420315,0.5915961861610413
6,0.02276928350329399,9.627462387084961,0.009370602667331696,1.0407040119171143
7,0.034530237317085266,22.75263023376465,0.013165588490664959,1.867364525794983
8,0.04989100620150566,48.98775863647461,0.019165808334946632,3.3267648220062256
9,0.06886529177427292,93.92168426513672,0.028631743043661118,5.901908874511719
10,0.09205347299575806,166.8253631591797,0.043017901480197906,10.398447036743164
11,0.12069627642631531,279.43572998046875,0.0640803873538971,17.906160354614258
12,0.15705114603042603,449.8106994628906,0.0945192277431488,30.40004539489746
13,0.20440739393234253,744.8653564453125,0.1389913558959961,50.840763092041016
14,0.2649526000022888,1308.9805908203125,0.2020573914051056,84.16793060302734
15,0.34659284353256226,2362.2490234375,0.2947208285331726,137.58421325683594
16,0.4543758034706116,4148.93310546875,0.4274635910987854,223.22146606445312
17,0.5995948314666748,6919.49658203125,0.6155581474304199,357.64483642578125
18,0.7987068891525269,11119.1376953125,0.8834091424942017,566.351318359375
19,1.0677827596664429,17786.564453125,1.2519447803497314,889.2152099609375
20,1.4482903480529785,28650.0625,1.779303789138794,1376.9617919921875
21,1.9831733703613281,45578.796875,2.5166215896606445,2129.70068359375
22,2.7334909439086914,70680.5703125,3.529395580291748,3280.906005859375
23,3.8030576705932617,108013.40625,4.929008960723877,5105.544921875
24,5.367425918579102,165841.703125,6.896408557891846,7966.6591796875
25,7.59786319732666,254444.640625,9.582014083862305,12383.701171875
26,10.825687408447266,391283.71875,13.256183624267578,19177.755859375
27,15.391156196594238,609003.9375,18.159732818603516,29799.47265625
28,21.96957015991211,946419.0625,24.86089324951172,45689.1796875
29,31.39773178100586,1488348.25,33.95389938354492,70329.84375
30,44.886653900146484,2393373.75,46.27751922607422,109400.7890625
31,64.37600708007812,3832302.0,63.035037994384766,170325.765625
32,91.67204284667969,6018000.5,84.86720275878906,262927.03125
33,129.9040069580078,9021804.0,113.50173950195312,391873.3125
34,185.77671813964844,13586474.0,152.645263671875,587856.8125
35,264.9198303222656,20670164.0,204.22705078125,885135.125
36,379.8907470703125,31842536.0,273.5269775390625,1339557.5
37,544.2583618164062,48599792.0,364.9637451171875,1994061.0
38,786.2702026367188,74448896.0,486.7914123535156,2971117.5
39,1129.8321533203125,115298048.0,646.04150390625,4491915.5
40,1636.3480224609375,178121520.0,860.723388671875,6730405.5
41,2385.72998046875,276526784.0,1155.6732177734375,10078104.0
42,3468.960205078125,425018304.0,1543.1607666015625,14886616.0
43,5090.314453125,658181440.0,2080.656494140625,22161648.0
44,7417.341796875,1007586176.0,2797.612548828125,33001442.0
45,10921.638671875,1544096256.0,3794.95263671875,50089476.0
