Timestep,Field_0,Field_1,Field_2,Field_3
0,0.999000072479248,0.9952077865600586,0.9989603757858276,0.9904468655586243
1,0.9986876249313354,0.9868064522743225,0.9988431930541992,0.9797331094741821
2,0.9981452226638794,0.9708343148231506,0.9986394643783569,0.9587831497192383
3,0.9972574710845947,0.9471745491027832,0.9983076453208923,0.9211083650588989
4,0.995864748954773,0.916622519493103,0.9978529214859009,0.8627097010612488
5,0.9937736988067627,0.8808130025863647,0.9973535537719727,0.7851513028144836
6,0.9908248782157898,0.8411464095115662,0.9968897104263306,0.700920581817627
7,0.9870508909225464,0.7985700368881226,0.9962612390518188,0.6185228824615479
8,0.9827608466148376,0.7531470656394958,0.9952583312988281,0.5550419092178345
9,0.9783778190612793,0.7078927159309387,0.9936964511871338,0.5047210454940796
10,0.974134087562561,0.6640052795410156,0.9913613200187683,0.45939329266548157
11,0.9699990749359131,0.6220552325248718,0.9879058003425598,0.4163789749145508
12,0.9658142328262329,0.5818241834640503,0.9829629063606262,0.375282883644104
13,0.961321234703064,0.5401571989059448,0.9757545590400696,0.3356851637363434
14,0.9563642740249634,0.4949238896369934,0.9654965400695801,0.29687076807022095
15,0.9506127834320068,0.4470633566379547,0.9507476091384888,0.2584324777126312
16,0.9436385631561279,0.3956797122955322,0.930191695690155,0.22051826119422913
17,0.9348292350769043,0.33981800079345703,0.9026807546615601,0.18227849900722504
18,0.9235356450080872,0.2817818224430084,0.8668238520622253,0.1458372175693512
19,0.908754825592041,0.2254495769739151,0.823161780834198,0.11149202287197113
20,0.89003586769104,0.17388176918029785,0.7709358930587769,0.08272495120763779
21,0.866493284702301,0.12826447188854218,0.7123270034790039,0.0576881542801857
22,0.8382437825202942,0.09046974778175354,0.6495318412780762,0.03646913543343544
23,0.8048489689826965,0.061197008937597275,0.5842862129211426,0.018056197091937065
24,0.7669904828071594,0.04115316644310951,0.5182149410247803,0.002698095515370369
25,0.7259395122528076,0.028594959527254105,0.454612672328949,-0.011011907830834389
26,0.682424783706665,0.02247466705739498,0.3943278193473816,-0.02300293557345867
27,0.6372112035751343,0.021506572142243385,0.3391815423965454,-0.03399539738893509
28,0.5924950242042542,0.02400587499141693,0.2881370186805725,-0.042801424860954285
29,0.5486032366752625,0.028792083263397217,0.24149301648139954,-0.05009865388274193
30,0.5062475204467773,0.03517986834049225,0.19931994378566742,-0.05618729069828987
31,0.46695858240127563,0.04172530770301819,0.16134455800056458,-0.06131700426340103
32,0.43098515272140503,0.0470644012093544,0.12803258001804352,-0.0657726377248764
33,0.3986177444458008,0.05081247538328171,0.09907998889684677,-0.06972028315067291
34,0.3690738081932068,0.05343693122267723,0.07310660183429718,-0.07374495267868042
35,0.3431459069252014,0.05586846172809601,0.05061620473861694,-0.07773684710264206
36,0.3205564618110657,0.05859380587935448,0.030803319066762924,-0.0820317342877388
37,0.3011090159416199,0.06172862648963928,0.013693604618310928,-0.08682957291603088
38,0.2843727469444275,0.06514632701873779,-0.0013712374493479729,-0.09190651774406433
39,0.27006831765174866,0.06837981939315796,-0.014043097384274006,-0.09699973464012146
40,0.2577318549156189,0.07110115885734558,-0.024849001318216324,-0.10164214670658112
41,0.24706551432609558,0.0722886472940445,-0.03438633307814598,-0.10554452240467072
42,0.2380525767803192,0.07102854549884796,-0.04191044718027115,-0.10837224125862122
43,0.23040170967578888,0.06740748882293701,-0.04830251634120941,-0.10997840762138367
44,0.22449734807014465,0.06257548183202744,-0.053116291761398315,-0.11032259464263916
45,0.2200613021850586,0.05776703730225563,-0.0571475587785244,-0.10962207615375519
