Timestep,Field_0,Field_1,Field_2,Field_3
0,0.0023624333553016186,0.009733706712722778,0.0024274722672998905,0.02411954291164875
1,0.0028900124598294497,0.016572212800383568,0.0025402288883924484,0.0346374548971653
2,0.0038136220537126064,0.04026014357805252,0.002749683102592826,0.053436532616615295
3,0.00533817894756794,0.10357445478439331,0.003103418741375208,0.08903123438358307
4,0.007754589896649122,0.27543318271636963,0.003586388658732176,0.1585015058517456
5,0.01142753567546606,0.7351537942886353,0.004082459956407547,0.2972259223461151
6,0.016909625381231308,2.065788984298706,0.004559287801384926,0.5524435639381409
7,0.024679888039827347,5.766541004180908,0.005329498089849949,1.0344964265823364
8,0.03479253500699997,14.598153114318848,0.0066657341085374355,1.902510404586792
9,0.04711451753973961,35.32080841064453,0.008726155385375023,3.4650721549987793
10,0.061944544315338135,78.40425109863281,0.011808712035417557,6.201988697052002
11,0.08012430369853973,149.3441162109375,0.016231603920459747,10.617647171020508
12,0.10329672694206238,267.55975341796875,0.02219909057021141,17.600645065307617
13,0.13441771268844604,465.607421875,0.030205830931663513,28.612735748291016
14,0.17454275488853455,813.7760009765625,0.04038199782371521,45.26240158081055
15,0.22952423989772797,1399.7843017578125,0.054245397448539734,70.09431457519531
16,0.3024134039878845,2286.3740234375,0.07240236550569534,106.96076202392578
17,0.39869505167007446,3464.128662109375,0.09644228219985962,158.58319091796875
18,0.5278835892677307,5046.0615234375,0.12829172611236572,231.26925659179688
19,0.695440411567688,7197.787109375,0.16849550604820251,329.1383056640625
20,0.9254946708679199,10383.3740234375,0.2221735268831253,467.6734924316406
21,1.2264058589935303,14746.46875,0.28930437564849854,656.09716796875
22,1.6253278255462646,20236.931640625,0.3743763566017151,915.0799560546875
23,2.144869804382324,27059.375,0.4800422191619873,1278.9285888671875
24,2.853907823562622,35773.30078125,0.6150298714637756,1803.1982421875
25,3.7721126079559326,46421.77734375,0.7791773080825806,2523.219970703125
26,4.994856834411621,59464.390625,0.9814375042915344,3507.796142578125
27,6.591264724731445,75814.703125,1.2263684272766113,4898.75537109375
28,8.73760986328125,96702.9609375,1.5266962051391602,6915.8369140625
29,11.667688369750977,124233.6171875,1.8987751007080078,9879.6240234375
30,15.623028755187988,163027.234375,2.356950521469116,14482.3876953125
31,21.123889923095703,215239.671875,2.930748462677002,21485.216796875
32,28.479732513427734,282460.9375,3.6050405502319336,32020.986328125
33,38.25267791748047,361632.3125,4.402734756469727,46572.890625
34,51.63904571533203,473030.84375,5.396673202514648,68651.1171875
35,69.52833557128906,628814.3125,6.586935997009277,101435.1796875
36,93.74765014648438,854222.0,8.045108795166016,150591.453125
37,125.21768951416016,1161929.75,9.756311416625977,220679.484375
38,167.50636291503906,1591033.75,11.817060470581055,322444.09375
39,221.13522338867188,2206137.25,14.235595703125,475560.71875
40,292.0120849609375,3056169.0,17.202255249023438,692191.375
41,385.7381591796875,4238955.5,20.869884490966797,1000305.3125
42,503.8489990234375,5831927.0,25.208118438720703,1424181.75
43,659.1644287109375,8038603.5,30.682861328125,2024994.5
44,853.25146484375,10923473.0,37.26696014404297,2869634.75
45,1108.14794921875,14808447.0,45.60462188720703,4111582.5
