Timestep,Field_0,Field_1,Field_2,Field_3
0,0.0025033331476151943,0.012060504406690598,0.0025851642712950706,0.03266435116529465
1,0.003072258085012436,0.020091770216822624,0.002704607555642724,0.050516121089458466
2,0.00407563429325819,0.04351356625556946,0.0029244706965982914,0.08393903076648712
3,0.005749241448938847,0.09261400997638702,0.003290558233857155,0.14604619145393372
4,0.008437823504209518,0.17642545700073242,0.003776493715122342,0.2460593432188034
5,0.01259989570826292,0.29083630442619324,0.00424620695412159,0.3908481001853943
6,0.01895599067211151,0.42569202184677124,0.004675384145230055,0.5822761058807373
7,0.028225552290678024,0.5861450433731079,0.005400307010859251,0.9260420799255371
8,0.04072863981127739,0.7617682218551636,0.006685348227620125,1.009946346282959
9,0.05662529915571213,0.9555396437644958,0.008649256080389023,0.9265223741531372
10,0.07668182998895645,1.190565586090088,0.011515136808156967,0.9327462911605835
11,0.10255786776542664,1.424533486366272,0.015494671650230885,0.9929139614105225
12,0.13723918795585632,1.6157615184783936,0.020652521401643753,1.047865867614746
13,0.18633127212524414,1.7557923793792725,0.027254953980445862,1.0520026683807373
14,0.2533840835094452,1.7975821495056152,0.03525623679161072,1.006925106048584
15,0.3494991660118103,1.817898154258728,0.0455784872174263,0.9430015683174133
16,0.48222410678863525,1.8138494491577148,0.058332107961177826,0.8925859332084656
17,0.6594632863998413,1.7991228103637695,0.07404008507728577,0.8662938475608826
18,0.8908067941665649,1.781722903251648,0.0931662917137146,0.8622016310691833
19,1.166680097579956,1.7522504329681396,0.11519351601600647,0.8732151389122009
20,1.4856884479522705,1.7283947467803955,0.14156106114387512,0.8949885964393616
21,1.8215972185134888,1.7006521224975586,0.17094126343727112,0.9235705137252808
22,2.1380982398986816,1.6704622507095337,0.20351746678352356,0.9548277854919434
23,2.4022507667541504,1.639376163482666,0.23879823088645935,0.9895259737968445
24,2.5893988609313965,1.6105024814605713,0.27815479040145874,1.0284311771392822
25,2.6679630279541016,1.5808701515197754,0.31933286786079407,1.0688462257385254
26,2.6418542861938477,1.5507997274398804,0.36324018239974976,1.1103131771087646
27,2.5419793128967285,1.51646089553833,0.40847089886665344,1.1496641635894775
28,2.3988900184631348,1.484574317932129,0.4561959505081177,1.1876344680786133
29,2.243522882461548,1.452350378036499,0.5066248178482056,1.2234761714935303
30,2.0954842567443848,1.4153897762298584,0.5589616298675537,1.2560029029846191
31,1.9673829078674316,1.3759407997131348,0.6136882305145264,1.2841095924377441
32,1.8617682456970215,1.3319110870361328,0.6679210066795349,1.3069230318069458
33,1.7778068780899048,1.2861082553863525,0.7218679189682007,1.3248262405395508
34,1.71073317527771,1.2402288913726807,0.7776180505752563,1.339414119720459
35,1.6606643199920654,1.1952918767929077,0.8321780562400818,1.3504936695098877
36,1.6239135265350342,1.15329110622406,0.8862950801849365,1.3595950603485107
37,1.5985994338989258,1.1162464618682861,0.9381825923919678,1.3674206733703613
38,1.5824449062347412,1.084259033203125,0.9879930019378662,1.3747286796569824
39,1.5743190050125122,1.0579349994659424,1.033998966217041,1.3814281225204468
40,1.5724387168884277,1.037500023841858,1.0774381160736084,1.3882997035980225
41,1.5756840705871582,1.022222876548767,1.1178908348083496,1.3953737020492554
42,1.5834846496582031,1.0121803283691406,1.153499722480774,1.4024479389190674
43,1.594895601272583,1.00628662109375,1.1852939128875732,1.4094500541687012
44,1.6090977191925049,1.0043039321899414,1.2126437425613403,1.4164848327636719
45,1.6256203651428223,1.0056800842285156,1.2354148626327515,1.4238309860229492
